Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
62,13.9,0.507,0.292,0.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,-0.8,-0.3,-1.1,0.5,3.1,0
62,13.8,0.484,0.182,0.347,5.2,10.8,7.9,18.6,4,0.5,16.2,20.1,-0.5,0.4,-0.1,0.3,0.4,0
62,14,0.516,0.334,0.255,3.8,12.1,8,11.5,2.1,0.8,11.2,22.4,-1,-0.6,-1.6,0.2,2.7,0
63,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1,-2.4,-1.4,0.3,3.3,0
64,11,0.547,0.365,0.5,0.6,6.7,3.5,11,1.1,0.3,13.4,18.8,-0.8,-3,-3.8,-0.3,0.4,0
65,11,0.468,0.23,0.156,2.8,12,7.3,24.9,2.6,0.9,18.7,12.9,-1.9,-0.6,-2.6,-0.1,0.3,0
66,9.1,0.459,0.305,0.271,2.3,13,7.7,7.4,2.1,1.2,10.3,15.3,-3,0.3,-2.7,-0.1,0.5,0
67,4.4,0.482,0.368,0.211,0,1.3,0.7,5.2,2.4,0,16.2,13.1,-4.2,-1.9,-6.1,-0.1,0,0
68,17.6,0.477,0.258,0.338,2.3,16.5,9.1,29.9,2,0.5,13.5,34.9,1.6,-1.3,0.3,0.7,0.2,0
69,12.2,0.537,0.367,0.208,2.8,15.1,8.8,8,1.7,0.6,10.3,16.3,-0.9,-1.9,-2.8,-0.3,1.3,0
70,6.2,0.466,0.657,0.129,0.3,16,8.3,3.2,1.5,0.9,9.8,10.9,-3.6,-0.4,-4,-0.2,0.1,0
70,8.8,0.578,0.722,0.093,0,16.8,8.6,3.1,1.7,0.6,9.6,10.7,-1.7,-0.4,-2.1,0,0.4,0
70,-3.1,0.113,0.438,0.25,1.4,13.3,7.3,3.4,0.7,2,10.1,11.6,-10.5,-0.3,-10.8,-0.2,-0.3,0
71,12.6,0.455,0.388,0.144,1.6,8.7,5.2,25,1.5,0.5,10.4,23.9,0,-1.9,-1.9,0.1,2.4,0
72,13,0.524,0.227,0.43,2.5,12.1,7.3,15.2,1,0.4,12.7,20.8,-0.4,-1.1,-1.6,0.1,1.7,0
73,9.3,0.544,0.553,0.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,-1,-0.5,-1.5,0.2,2.4,0
74,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,4.1,0.6,4.7,4.2,11.2,0
75,11.4,0.531,0.455,0.13,2.1,12.4,7.4,6.5,1,1.2,8.1,17.9,-0.8,-0.8,-1.7,0.1,2.6,0
76,13.1,0.586,0.275,0.25,1.7,9.3,5.4,18.4,1.2,0,21.3,20.4,-1.6,-3.3,-4.9,-0.1,0.1,0
77,4.8,0.336,0.29,0.129,3.4,6.6,5,42.2,0.8,1.2,19.6,27.6,-5.8,-3.3,-9.1,-0.1,-0.2,0
78,-1.8,0.417,0.25,0,5,5,5,0,0,3.5,25,31.5,-12.6,-6.3,-18.9,-0.1,-0.1,0
79,12.3,0.455,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,-2.1,1.8,-0.3,0.4,1.1,0
80,11.3,0.519,0.401,0.09,1.7,9.8,5.6,25.6,1.3,0,16.9,16.1,-0.5,-2.6,-3.2,-0.4,0.9,0
81,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,-0.2,-0.9,-1,0.6,2.8,0
82,12.4,0.534,0.651,0.159,2.1,8.3,5.1,18.7,1.5,0.3,13.3,21.6,0.7,-2.9,-2.2,-0.1,1.4,0
82,11.8,0.549,0.641,0.16,3.3,6.6,4.9,12.6,1.9,0,14.1,19.2,0,-2.3,-2.3,0,0.6,0
82,12.8,0.526,0.656,0.158,1.3,9.4,5.1,22.7,1.3,0.4,12.9,23.2,1.1,-3.3,-2.2,0,0.8,0
83,12.1,0.409,0,0.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,-8.8,1,-7.8,-0.1,0,0
84,15.9,0.603,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,2.4,0.5,2.9,2.7,7,0
85,9.6,0.445,0.571,0.14,2.8,11.1,7,11.1,2.1,1.1,9.1,19.9,-1.1,-0.3,-1.4,0.2,1,0
86,14.1,0.461,0.166,0.317,3.2,15.3,9,37.3,2.6,1.1,19.5,26.7,-1.6,0.9,-0.7,0.7,0.8,0
86,12.8,0.444,0.205,0.298,3.2,17.3,9.9,40.9,2.2,1,20.1,27.1,-1.9,0.6,-1.3,0.2,-0.5,0
86,16.3,0.496,0.091,0.354,3.2,11.7,7.5,30.8,3.4,1.3,18.2,25.8,-1,1.4,0.4,0.5,1.3,0
87,14.4,0.58,0.204,0.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,0,-1.3,-1.3,0.3,2.7,0
88,11.7,0.521,0.374,0.401,1.2,9,5.2,21,2.7,0.4,18.2,18.9,-0.6,-0.4,-1,0.6,2.8,0
89,20.1,0.697,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,1.9,2.3,4.2,3.6,10.3,0
90,13.2,0.523,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,0.5,-0.4,0.2,1.3,3.6,0
91,5.8,0.347,0.474,0.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,-4.4,0.7,-3.7,0,0,0
92,-2.6,0.25,0.333,0,8,15.9,12,0,1.8,0,7.7,20.6,-10.6,-5.7,-16.3,-0.1,-0.1,0
93,6.7,0.425,0.467,0.133,1.2,26.5,13.9,5,1.7,3.5,15.9,18.5,-6.6,0.5,-6.1,-0.1,-0.1,0
