Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
146,19,0.582,0.341,0.617,3.1,14,8.5,11.8,1.1,0.8,8,23,2.9,-1.8,1.2,1.5,6.3
147,11.7,0.49,0.381,0.194,2.3,13,7.7,15.7,1.9,0.8,8.7,15.6,-0.4,0.1,-0.4,0.8,3.3
148,12.3,0.491,0.009,0.183,3.2,27.9,15.7,16.4,2.5,1.5,11.4,11.3,-2.5,2.5,0,0.3,1.1
149,17.7,0.528,0.004,0.347,3.5,20.2,11.5,18.9,1.4,3.6,12.7,23.4,-0.7,1.7,1,1.3,3.7
150,21.7,0.529,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,0.5,3.5,4,3.5,7.1
151,15.5,0.538,0.214,0.252,4.7,15.9,10.4,8,2,1.7,11.1,22.4,-0.4,0.1,-0.4,1,3.8
152,8.4,0.572,0.235,0.259,3.9,13,8.3,6.2,1.9,0.7,16.2,9.2,-1.8,1,-0.8,0.5,1.9
153,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,3.5,1,4.5,4.6,9.2
154,15.7,0.556,0.006,0.292,11.4,15.9,13.7,8.3,1.2,2.9,12.1,14.6,-0.1,1.7,1.6,1.7,5.4
155,17.8,0.573,0.411,0.257,2.7,11.7,7.3,23.6,3,0.8,17,23.6,2.3,1.3,3.6,1.6,3.8
156,17.5,0.582,0,0.799,12.6,27.7,20.2,7.4,1.2,5.9,19.2,14.2,-1.1,4.8,3.7,2.8,6.4
157,7.5,0.376,0.398,0.136,10.1,21.3,15.6,6,1.3,2.9,10.6,17.5,-5.1,0.1,-5,-0.2,0
158,11.1,0.498,0.235,0.457,2.6,11.5,6.9,17.2,1.2,1,16.5,23.2,-2.9,-1.7,-4.6,-0.7,0.1
159,17,0.541,0.245,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,0.6,1.2,1.8,1.8,5.4
160,13.5,0.565,0.533,0.226,0.7,6.9,3.7,12.7,1.4,0.8,10.7,20.3,1.6,-2.2,-0.6,0.5,2.1
161,19,0.592,0.001,0.271,10.8,26.3,18.4,7.5,1,3.4,12.4,18.9,-0.5,1.7,1.2,1.8,7.3
162,12.4,0.506,0.45,0.2,2.2,2.2,2.2,13.3,5.9,3.3,24.3,24.8,-4.1,0.6,-3.6,0,0
163,12.6,0.506,0.244,0.538,5,14.3,9.5,10.4,1.3,4.7,12.9,18,-2.6,1.3,-1.3,0.4,2.1
164,11.2,0.479,0.256,0.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-2.3,-1.1,-3.4,-0.5,0.8
